1,1,14:25:19,0:00:00.110860
1,2,14:25:19,0:00:00.091945
1,3,14:25:19,0:00:00.087564
1,4,14:25:19,0:00:00.090056
2,1,14:42:54,0:00:00.173092
2,2,14:42:54,0:00:00.091152
2,3,14:42:54,0:00:00.093687
2,4,14:42:54,0:00:00.092717
3,1,15:00:26,0:00:00.184042
3,2,15:00:26,0:00:00.093149
3,3,15:00:26,0:00:00.093643
3,4,15:00:26,0:00:00.124642
4,1,15:18:05,0:00:00.156649
4,2,15:18:05,0:00:00.097376
4,3,15:18:05,0:00:00.092109
4,4,15:18:05,0:00:00.098157
5,1,15:35:43,0:00:00.175124
5,2,15:35:43,0:00:00.100352
5,3,15:35:43,0:00:00.094255
5,4,15:35:43,0:00:00.096927
6,1,15:53:36,0:00:00.150426
6,2,15:53:36,0:00:00.096308
6,3,15:53:36,0:00:00.099579
6,4,15:53:36,0:00:00.094673
